Rank,Ticker,Minervini,Sector,Industry,Universe,Relative Strength,Percentile,RS_1W,1 Month Ago,3 Months Ago,6 Months Ago,RMV,Close,ATR% (14),PTC,Contraction,Confirmed Breakout,Not Extended,Flip Setup,SPY Trend OK,Source,CANSLIM,DaysToEarnings,is_speculative,Name,Commentary,Commentary_Text,Stage,label,date,low_signal,marketCap,volume,avg_volume,is_up,rs_1w_pct,rs_1m_pct,Candidate High-Win,Candidate Flip
1,SNDK,8,Technology,Computer Hardware,Nasdaq 100,10.688366970926625,100.0,10.080657916785885,6.71681034782212,100.0,100.0,41.82,989.9000244140625,0.06323589253605935,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Sandisk Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,131618734080.0,11545609.0,17067920.0,True,100.0,100.0,False,False
2,WDC,8,Technology,Computer Hardware,Nasdaq 100,3.822440295506337,99.39393939393939,3.701539836662586,3.1023386854753623,98.7878787878788,98.18181818181819,33.6,404.0,0.048078151201089,7,True,False,False,False,True,AI Scanner,"{'c': False, 'a': True, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Western Digital Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,95629238272.0,5563960.0,9733960.0,True,98.7878787878788,98.7878787878788,False,False
3,PL,8,Industrials,Aerospace & Defense,Manual Tip,3.5872731854513584,98.7878787878788,3.8163816691835932,3.7103511021255646,99.39393939393939,98.7878787878788,60.51,35.439998626708984,0.09295991887524982,7,True,False,False,False,True,AlphaCharts,"{'c': True, 'a': False, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,True,Planet Labs PBC,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,8428334080.0,9622111.0,9004500.0,False,99.39393939393939,99.39393939393939,False,False
4,STX,8,Technology,Computer Hardware,Nasdaq 100,2.8965531452789994,98.18181818181819,2.867781291068715,2.19335886166283,97.57575757575758,97.57575757575758,31.22,586.25,0.04488628014463715,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Seagate Technology Holdings plc,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,88938921984.0,2690306.0,3162910.0,False,98.18181818181819,96.96969696969697,False,False
5,MU,8,Technology,Semiconductors,Nasdaq 100,2.7093601252828505,97.57575757575758,2.564916643147557,2.1961729926940357,98.18181818181819,96.96969696969697,34.3,496.7200012207031,0.05034742550766399,7,True,False,False,False,True,AlphaCharts,"{'c': True, 'a': True, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,"Micron Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,464126246912.0,35248923.0,29634200.0,True,96.96969696969697,97.57575757575758,False,False
6,VSAT,8,Technology,Communication Equipment,Manual Tip,2.701210329164539,96.96969696969697,2.6797773154462003,2.266100878570635,96.96969696969697,99.39393939393939,36.1,61.9900016784668,0.04967390550133695,7,True,False,False,False,True,AlphaCharts,"{'c': False, 'a': False, 'n': True, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,"Viasat, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,6509040640.0,1275122.0,1659010.0,False,97.57575757575758,98.18181818181819,False,False
7,INTC,8,Technology,Semiconductors,Nasdaq 100,2.4438492844173942,96.36363636363636,1.9518340248782629,1.4807264236508781,90.9090909090909,93.93939393939394,36.84,82.54000091552734,0.05498632715804159,7,False,True,False,False,True,memory,"{'c': False, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Intel Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,Test,2026-02-23,False,227830087680.0,279142137.0,74665460.0,True,96.36363636363636,90.9090909090909,False,False
8,MRVL,8,Technology,Semiconductors,Nasdaq 100,1.9777658988918816,95.75757575757575,1.6915111520280481,1.2053850043197467,31.515151515151512,45.45454545454545,33.59,164.30999755859375,0.04581542790526423,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Marvell Technology, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,69281292288.0,37473660.0,10495450.0,False,93.93939393939394,73.33333333333333,False,False
9,LRCX,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.8733604860056028,95.15151515151516,1.8894687860374981,1.747071269885479,95.15151515151516,93.33333333333333,24.24,267.7799987792969,0.043068421968208453,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,False,Lam Research Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,293772853248.0,12247790.0,9444820.0,True,95.75757575757575,96.36363636363636,False,False
10,AMD,8,Technology,Semiconductors,Nasdaq 100,1.739847283626439,94.54545454545455,1.4584394929475983,1.249938780372947,86.06060606060606,95.75757575757575,27.62,347.80999755859375,0.039549502122518905,7,False,True,False,False,True,AI Scanner,"{'c': True, 'a': False, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Advanced Micro Devices, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,326424559616.0,79942384.0,37805560.0,True,89.0909090909091,80.0,False,False
11,MPWR,8,Technology,Semiconductors,Nasdaq 100,1.7139263882050986,93.93939393939394,1.588184135200411,1.2984363913679657,83.63636363636363,86.66666666666667,23.59,1632.06005859375,0.03347215969696904,7,False,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,"Monolithic Power Systems, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,55661723648.0,691507.0,487470.0,True,93.33333333333333,82.42424242424242,False,False
12,IRDM,7,Communication Services,Telecom Services,Manual Tip,1.675507957998677,93.33333333333333,1.776669685639455,1.3892179764296988,26.666666666666668,0.6060606060606061,45.83,38.959999084472656,0.06965019188884448,6,False,False,False,False,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,Iridium Communications Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,2509516032.0,3367630.0,2756550.0,False,95.15151515151516,86.06060606060606,False,False
13,AMAT,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.6727044894924432,92.72727272727272,1.5874356179883544,1.6443203187800142,90.30303030303031,77.57575757575758,19.19,417.0400085449219,0.031977043365374345,7,True,False,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,False,"Applied Materials, Inc.",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,295460929536.0,6136845.0,8638880.0,True,92.72727272727272,95.75757575757575,False,False
14,USO,8,unknown,unknown,Market Pulse,1.6413263723319838,92.12121212121212,1.4643651731417673,1.592782439171828,41.81818181818181,24.242424242424242,31.99,132.39999389648438,0.06183103056990197,7,False,False,False,False,True,AI Scanner,"{'c': False, 'a': False, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,True,"United States Oil Fund, LP",Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,True,9760244736.0,14001732.0,10094790.0,False,90.30303030303031,94.54545454545455,False,False
15,ARM,7,Technology,Semiconductors,Nasdaq 100,1.6279796969682958,91.51515151515152,1.2206367709035972,1.2345779283109874,3.6363636363636362,63.030303030303024,41.51,234.80999755859375,0.049999379871190706,6,False,True,False,False,True,Breakout Scanner,"{'c': True, 'a': False, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,False,Arm Holdings plc,Upward,"Strong bull trend, trending above MA50 & MA200.",2,High Growth Breakouts,2026-02-21,False,135351713792.0,20236234.0,3936200.0,True,76.36363636363637,76.96969696969697,False,False
16,KLAC,8,Technology,Semiconductor Equipment & Materials,Nasdaq 100,1.6091071940743895,90.9090909090909,1.4973806783565475,1.4295940217317713,89.6969696969697,87.27272727272727,20.12,1935.0,0.0328778024351698,7,True,True,False,False,True,AI Scanner,"{'c': True, 'a': True, 'n': True, 's': True, 'l': True, 'i': True, 'm': True}",-1,False,KLA Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,,,False,200314191872.0,1139680.0,828000.0,True,90.9090909090909,89.6969696969697,False,False
17,HBM,8,Basic Materials,Copper,Manual Tip,1.590694188520788,90.30303030303031,1.726262916461903,1.416800290290901,95.75757575757575,94.54545454545455,27.42,24.350000381469727,0.04904665524629801,7,True,False,True,True,True,AlphaCharts,"{'c': True, 'a': True, 'n': False, 's': False, 'l': True, 'i': True, 'm': True}",-1,False,Hudbay Minerals Inc.,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,11012931584.0,3893271.0,6805750.0,True,94.54545454545455,89.0909090909091,False,False
18,AA,8,Basic Materials,Aluminum,Manual Tip,1.5101308594274299,89.6969696969697,1.5230382283884827,1.5017212365423571,91.51515151515152,67.27272727272727,26.32,66.01000213623047,0.044760307454996574,6,True,False,True,True,True,AlphaCharts,"{'c': False, 'a': True, 'n': False, 's': False, 'l': False, 'i': True, 'm': True}",-1,False,Alcoa Corporation,Upward,"Strong bull trend, trending above MA50 & MA200.",2,AlphaCharts 2-22-2026,2026-02-24,False,15902981120.0,2159053.0,6727380.0,True,91.51515151515152,92.12121212121212,False,False
19,WFRD,8,Energy,Oil & Gas Equipment & Services,Manual Tip,1.49917221831718,89.0909090909091,1.46071228228955,1.4809275686598662,84.84848484848484,72.72727272727273,32.14,108.54000091552734,0.044668192686142215,7,False,False,False,False,True,YourTube,"{'c': False, 'a': True, 'n': True, 's': True, 'l': False, 'i': True, 'm': True}",-1,True,Weatherford International plc,Upward,"Strong bull trend, trending above MA50 & MA200.",2,Alphacharts 2-28-2026,2026-03-02,False,7665071104.0,1407253.0,1039870.0,True,89.6969696969697,91.51515151515152,False,False
